"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 03 03:12:09 UTC 2025","Wed Dec 03 03:12:16 UTC 2025","7175","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testSearchWithNoResults","Should handle search with no results [1]","Verify that search returns empty results when no match is found"
"passed","Wed Dec 03 03:12:29 UTC 2025","Wed Dec 03 03:12:34 UTC 2025","4540","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testEditRecord","Should edit existing record in table [1]","Verify that an existing record can be edited"
"passed","Wed Dec 03 03:11:58 UTC 2025","Wed Dec 03 03:12:05 UTC 2025","6434","","ui.tests.FormTest","","ui.tests.FormTest","testSubjectAutocomplete","Should handle subject selection with autocomplete [1]","Verify that subjects can be selected using autocomplete dropdown"
"passed","Wed Dec 03 03:12:05 UTC 2025","Wed Dec 03 03:12:11 UTC 2025","5851","","ui.tests.FormTest","","ui.tests.FormTest","testMinimalFormSubmission","Should submit form with required fields only [1]","Verify that form can be submitted with only required fields"
"passed","Wed Dec 03 03:12:16 UTC 2025","Wed Dec 03 03:12:25 UTC 2025","8269","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testDeleteRecord","Should delete record from table [1]","Verify that a record can be deleted from the web table"
"passed","Wed Dec 03 03:12:11 UTC 2025","Wed Dec 03 03:12:18 UTC 2025","6983","","ui.tests.FormTest","","ui.tests.FormTest","testStateAndCityDropdowns","Should handle state and city dropdown selection [1]","Verify that state and city can be selected from dependent dropdowns"
"passed","Wed Dec 03 03:11:42 UTC 2025","Wed Dec 03 03:12:01 UTC 2025","19185","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testSearchFunctionality","Should search for records in table [1]","Verify that table search functionality works correctly"
"passed","Wed Dec 03 03:12:34 UTC 2025","Wed Dec 03 03:12:41 UTC 2025","7341","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testMultipleOperations","Should handle multiple record operations [1]","Verify that multiple add, edit, and delete operations work correctly"
"passed","Wed Dec 03 03:12:18 UTC 2025","Wed Dec 03 03:12:26 UTC 2025","8260","","ui.tests.FormTest","","ui.tests.FormTest","testCompleteFormSubmission","Should submit student registration form successfully [1]","Verify that student registration form can be filled and submitted with all fields"
"passed","Wed Dec 03 03:12:25 UTC 2025","Wed Dec 03 03:12:29 UTC 2025","4627","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testAddNewRecord","Should add new record to table [1]","Verify that a new record can be added to the web table"
"passed","Wed Dec 03 03:11:42 UTC 2025","Wed Dec 03 03:11:58 UTC 2025","16630","","ui.tests.FormTest","","ui.tests.FormTest","testDatePickerSelection","Should handle date picker selection [1]","Verify that date of birth can be selected from date picker"
"passed","Wed Dec 03 03:12:01 UTC 2025","Wed Dec 03 03:12:09 UTC 2025","8384","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testCompleteRecordAdd","Should add complete record successfully [1]","Verify that form accepts all fields"
